title,date,content,rating
Colgate total original,13th December 2018,"Really good, like it because it good for all family",4 stars
Great toothpaste,13th December 2018,"When I tried this for the first time I was amazed at how my teeth felt , nice and clean and the feeling lasted all day . Nice flavour . Definitely recommend",5 stars
ONLY TOOTHPASTE YOU WILL EVER NEED,13th December 2018,"IF YOUR LOOKING FOR A TOOTHPASTE THAT IS SUITABLE FOR THE WHOLE FAMILY THEN LOOK NO FURTHER, ABSOLUTELY PERFECT",5 stars
Good Toothpaste,13th December 2018,This toothpaste tastes great without being coldly minty. It foams nicely and helps with my sensitive teeth effectively,5 stars
Colgate Total- Highly Recommend,13th December 2018,"Fantastic all round toothpaste! Covers so many factors including sensitive teeth, gum problems and plaque. Amazing freshness after brushing that lasts after. Would definitely recommend and be purchasing again. Great for the whole family. Even my little boy liked it, and I currently have to buy him different from us!",5 stars
Even the kids loved it!,13th December 2018,Left my teeth feeling clean and fresh. Tasted great and even the kids didn't moan about cleaning their teeth for once!,5 stars
Fresh experience,13th December 2018,From the very first use a lovely fresh tingle sparkles in your mouth. Teeth feel very cleen and protected throughout the day. Although the taste is a little wierd with regular use this becomes unnoticable. Gums feel looked after. Good product. Would recommend trying it out.,4 stars
Fresh!,13th December 2018,"Colgate Total Original left not only my teeth feeling clean, but my whole mouth and tongue! The freshness lasted for several hours and I would definitely recommend it for the whole family.",5 stars
What you see is what you get,13th December 2018,Fresh and does what it says on the box. No frills which is great when it comes to oral health.,4 stars
Great for sensitive teeth,13th December 2018,"I like that this toothpaste is good for sensitive teeth! After the first few uses my teeth stopped bleeding, which is great! There is one thing I didn't like a little, the taste (but it's because I don't really like mint).",4 stars
Perfection in a tube,13th December 2018,A great all round toothpaste with a nice flavour and texture,5 stars
Clean and fresh,13th December 2018,"I like the easy open lid, the kids won't drop it or loose it and the toothpaste won't get dry. Lovely fresh minty taste, not too strong. My mouth feels clean and fresh.",4 stars
Colgate review,13th December 2018,I like the taste and texture of this toothpaste. I also trust the colgate name brand. I would have prefered if the whitening effect was more noticable.,4 stars
Colgate toothpaste,13th December 2018,This is the best toothpaste I've ever used. It's perfect for my sensitice teeth,5 stars
Perfect family toothpaste,13th December 2018,This is a fantastic toothpaste to use for the whole family. It will really help with overall superb dental hygiene for the whole family.,5 stars
Minty fresh,13th December 2018,"This is a nice tasting toothpaste, strong mint flavour which leaves breath fresh. Cleans well and seems to be effective.",4 stars
The best toothpaste you can buy,13th December 2018,"Removes stains fast, minty taste, effective whitening, fluoride to fight cavities",5 stars
Really good product!,13th December 2018,"Really good product and good quality. I feel really good my teeth after the washing, and also my gum are really good.",5 stars
Minty fresh,13th December 2018,"This is a nice tasting toothpaste, strong mint flavour which leaves breath fresh. Cleans well and seems to be effective.",4 stars
Dislike the after taste,13th December 2018,The toothpaste fulfilled the required purpose however I did not like the after taste,3 stars
Original and the best . . . By far !,13th December 2018,A Great fresh clean taste without being overbearing And no sting effects to gums or lips and no mouth sores which I've received from other versions/brands in the past. And best of all a 'flip cap'! . . . It's always the little things that make the big difference. Will definitely purchase again.,4 stars
Colgate total original,13th December 2018,"Really good, like it because it good for all family",4 stars
Good toothpaste,13th December 2018,"It's a good toothpaste,leaves my teeth and mouth fresh and clean,however not the best whitening effect.",4 stars
Colgate - Refreshing,13th December 2018,Colgate Total is a fantastic toothpaste which leaves my mouth feeling refreshed and clean.,5 stars
Colgate toothpaste,13th December 2018,This is the best toothpaste I've ever used. It's perfect for my sensitice teeth,5 stars
Colgate total review x,13th December 2018,I liked the packaging and the fact it cleans your whole mouth and not just your teeth. It's makes your mouth and breath feel fresh and minty for ages after and works up a good frothy foam when brushing o ly downside is that my boys who are 5 are unable to use it,5 stars
Good family all rounder,12th December 2018,As a family we feel it can be used by all of us. The flavour is mild yet fresh making no complaints from the little people,4 stars
Good quality toothpaste,12th December 2018,Colgate total original toothpaste is perfect for the whole family to use. It tastes good and really cleans your teeth well. There's no funny aftertaste that you sometimes get with toothpastes. My mouth feels refreshed and healthy after using it.,4 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Great taste and very clean teeth.,12th December 2018,"This toothpaste has a great taste, makes a rich foam and rinses very well. It leaves my teeth feeling very clean and it has a very nice, minty aftertaste. I am very impressed with the results after using this toothpaste for a week and would really recommend it.",4 stars
Colgate trial,12th December 2018,"I liked the taste of this toothpaste , u only need a little bit as it goes a long way , so the tube will last longer . It left my mouth feeling fresh .",4 stars
Superb,12th December 2018,This toothpaste provided a whole mouth clean that felt fresh even after a nights sleep.,4 stars
Total - a toothpaste that really does!,12th December 2018,"I loved this toothpaste as it was fresh, felt like it was cleaning my whole mouth as well as cleaning and protecting my teeth. The freshness lasted a long time too which gives you confidence speaking to people on a regular basis (I have to do this for my job)",5 stars
Strong minty freshness!,12th December 2018,The toothpaste comes in familiar colgate packaging so it is easy to identify. It has a strong mint taste that leaves your mouth feeling fresh and clean.,5 stars
colgate toothpaste,12th December 2018,great toothpaste would buy nice clean feel to teeth after use,5 stars
Good quality toothpaste,12th December 2018,Colgate total original toothpaste is perfect for the whole family to use. It tastes good and really cleans your teeth well. There's no funny aftertaste that you sometimes get with toothpastes. My mouth feels refreshed and healthy after using it.,4 stars
Great Toothpaste,12th December 2018,"A great all rounder toothpaste, leaving my whole mouth feeling fresh and clean. Great minty taste. My teeth feel clean all day.",5 stars
Good quality toothpaste,12th December 2018,Colgate total original toothpaste is perfect for the whole family to use. It tastes good and really cleans your teeth well. There's no funny aftertaste that you sometimes get with toothpastes. My mouth feels refreshed and healthy after using it.,4 stars
Totally Family Friendly,12th December 2018,Family friendly toothpaste . The flavour is nice and leaves your breath and mouth fresher for longer. It is gentle on the gums.,5 stars
Professional,12th December 2018,I think this is a professional toothpaste recommend by dentists and it is highly affective at doing what it says on the packaging,5 stars
Brilliant,12th December 2018,"Brilliant Toothpaste. It creates a good foam in the mouth , also not too minty so the whole family can use it as my kids are very fussy about their toothpaste. So very happy I don't have to buy 3 different toothpaste every month",5 stars
Fabulous Colegate Total,12th December 2018,"Colgate Total is a toothpaste able to be used by the whole family. It's got a lovely taste, leaves your breath fresh for a very long-time. I would definitely recommend this toothpaste to everyone.",5 stars
"Colgate, the best your teeth can get",12th December 2018,Great all in one toothpaste. Easy to use and no mess left round the top. It leaves me with fresh breath and teeth that look and feel clean,5 stars
Totally clean totally fresh,12th December 2018,After using Colgate Total Original Toothpaste my mouth felt totally fresh and clean and as though I had done the best thing for my oral health. It had a lovely fresh and minty taste and cleaned my teeth and mouth perfectly.,5 stars
Minty fresh,12th December 2018,"Excellent toothpaste, leaves your mouth feeling clean x",4 stars
Mouth left feeling fresh,12th December 2018,Colgate Original toothpaste had a great taste and texture. It left my mouth feeling really fresh. I would definitely recommend to family and friends. Will buy and use again.,4 stars
Total - a toothpaste that really does!,12th December 2018,"I loved this toothpaste as it was fresh, felt like it was cleaning my whole mouth as well as cleaning and protecting my teeth. The freshness lasted a long time too which gives you confidence speaking to people on a regular basis (I have to do this for my job)",5 stars
Great toothpaste,12th December 2018,"Fantastic toothpaste. It tasted minty, teeth felt clean and mouth felt fresh. Great for all the family to use.",4 stars
Not Colgate's best toothpaste,12th December 2018,Wide application of uses but too runny and not strong enough on repairing enamel and tooth sensitivity.,2 stars
My full family review,12th December 2018,"It's suitable for all the family, my children can't wait to brush their teeth",5 stars
ColgateToothpaste the best on the market,12th December 2018,Collate toothpaste is the best toothpaste I have ever used in my life.I would define tell recommend it to other people,5 stars
Stays fresh for longer,12th December 2018,"I received this as a sample to rest. I had tried a few other Colgate toothpastes, but this gave us a better clean overall. My mouth felt and stayed fresh for longer. The children think its awesome so that's a plus. It will definitely be something I'll look out to purchase again.",4 stars
Great toothpaste,12th December 2018,"This toothpaste is perfect for the whole family, the flavour is nice and soft, it foams well. Cleans teeth perfectly",5 stars
Colgate total toothpaste,12th December 2018,The toothpaste foamed up really well and felt like it was cleaning my teeth really well. It has a strong minty taste whichwas quite nice. After brushing my teeth my mouth felt really clean for about an hour. I will definitely buy this toothpaste again.,5 stars
Great product,12th December 2018,"I'm quite funny about my toothpaste and I love that squeaky clean fresh breath feel and boy oh boy does this deliver! It had a very nice taste to it and foams up a perfect amount without feeling overpowering in the mouth. It claims a lot for one toothpaste but I really feel like it does everything it says. My teeth feel amazing all day long, and I have to take this with me on holidays because I just can't use anything else, when I have had to use other toothpaste before it was such a huge difference, with Colgate my teeth feel clean all day long.",5 stars
My fresh clean mouth,12th December 2018,"I found Colgate total very nice tasting ,I find it made my mouth feel fresh my teeth feel clean and it lasted all day .I found it easy to use",5 stars
Total! Good,12th December 2018,"Good quality toothpaste suitable for all the family, leaving teeth and the mouth feeling fresh and clean after use!",4 stars
Refreshing,12th December 2018,Colgate Total Original is a really refreshing toothpaste which leaves your mouth feeling super clean and fresh. It is suitable for the whole family too,4 stars
Strange taste,12th December 2018,This toothpaste leaves your teeth feeling clean but it leaves a funny after taste so I did not like it.,2 stars
A family must for toothpaste .,12th December 2018,My family have recently been using the Colgate total original toothpaste . It's kept fresh breath for the whole day . The taste isn't harsh like some other brands but still makes you fell fresh and clean .,5 stars
Colgate Total Toothpaste,12th December 2018,I like the way it leaves your teeth clean. It tastes like mint but it's not over powering.,4 stars
Totally fantastic - Colgate Total,12th December 2018,My teeth felt fantastically clean and my mouth and breath really fresh.,5 stars
Fresh and clean,12th December 2018,It's a good toothpaste that leaves you with a nice sensation of freshness,4 stars
Great toothpaste,12th December 2018,"I like the way it leaves my mouth after I use the toothpaste, so fresh and clean. The fresh breath feeling lasted what felt like most of the day.",5 stars
Great Toothpaste,12th December 2018,"A great all rounder toothpaste, leaving my whole mouth feeling fresh and clean. Great minty taste. My teeth feel clean all day.",5 stars
Total oral hygiene,12th December 2018,Easy to use. Taste is okay. It does what it says on the packaging in that it provides total mouth hygiene care.,3 stars
great buy,12th December 2018,i love minty and fresh breath. it's easy to use and the whole family can use it,5 stars
Fresh and clean,12th December 2018,Clean and fresh feeling along with long lasting feeling,5 stars
Totally clean totally fresh,12th December 2018,After using Colgate Total Original Toothpaste my mouth felt totally fresh and clean and as though I had done the best thing for my oral health. It had a lovely fresh and minty taste and cleaned my teeth and mouth perfectly.,5 stars
good toothpaste,12th December 2018,"a nice toothpaste, not too minty, not too frothy. mouth felt really clean afterwards.",5 stars
Fab toothpaste,12th December 2018,Really liked the product. My whole mouth felt fresh just after one use,5 stars
Colgate total,12th December 2018,"Amazing clean finish, mouth feels refreshed, I love the fact it helps bacteria in your mouth and tongue, clean mouth all day, great for all the family, I won't go back to my old brand",5 stars
Not the best but very good,12th December 2018,Higly recommended. Leaves fresh taste and keep my teeth healthy,5 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Totally Family Friendly,12th December 2018,Family friendly toothpaste . The flavour is nice and leaves your breath and mouth fresher for longer. It is gentle on the gums.,5 stars
Professional,12th December 2018,I think this is a professional toothpaste recommend by dentists and it is highly affective at doing what it says on the packaging,5 stars
Brilliant,12th December 2018,"Brilliant Toothpaste. It creates a good foam in the mouth , also not too minty so the whole family can use it as my kids are very fussy about their toothpaste. So very happy I don't have to buy 3 different toothpaste every month",5 stars
Fabulous Colegate Total,12th December 2018,"Colgate Total is a toothpaste able to be used by the whole family. It's got a lovely taste, leaves your breath fresh for a very long-time. I would definitely recommend this toothpaste to everyone.",5 stars
"Colgate, the best your teeth can get",12th December 2018,Great all in one toothpaste. Easy to use and no mess left round the top. It leaves me with fresh breath and teeth that look and feel clean,5 stars
Totally clean totally fresh,12th December 2018,After using Colgate Total Original Toothpaste my mouth felt totally fresh and clean and as though I had done the best thing for my oral health. It had a lovely fresh and minty taste and cleaned my teeth and mouth perfectly.,5 stars
Minty fresh,12th December 2018,"Excellent toothpaste, leaves your mouth feeling clean x",4 stars
Mouth left feeling fresh,12th December 2018,Colgate Original toothpaste had a great taste and texture. It left my mouth feeling really fresh. I would definitely recommend to family and friends. Will buy and use again.,4 stars
Total - a toothpaste that really does!,12th December 2018,"I loved this toothpaste as it was fresh, felt like it was cleaning my whole mouth as well as cleaning and protecting my teeth. The freshness lasted a long time too which gives you confidence speaking to people on a regular basis (I have to do this for my job)",5 stars
Great toothpaste,12th December 2018,"Fantastic toothpaste. It tasted minty, teeth felt clean and mouth felt fresh. Great for all the family to use.",4 stars
Clip of cleanses,12th December 2018,"I think it's great, the tube with a clip fastening is great keep it standing up, also the taste isn't too strong and great for the whole family, cleans your mouth and feels fresh",4 stars
Excellen Toothpaste!!! Highly recommend!,12th December 2018,"I love the package because it will be easy to find on the shops shelves and also looks cool. This toothpaste will be great for me and my family as it leaves my teeth clean, shiny, smooth and fresh. But the most important is it takes really great care of all the problematic areas at once.",5 stars
Fresh and clean,12th December 2018,Leaves your teeth looking and feeling clean just like you have left your dentist appointment,4 stars
Colgate Total Original Best toothpaste,12th December 2018,"Great toothpaste, felt nice and fresh, very good cleaning your teeth, feels clean and fresh breath so much long then with any other I ever used. Feels like it's cleaning not only my teeth but whole mouth. Recommended to everyone who cares for your teeth and mouth.",5 stars
Love it,12th December 2018,Seeing it sitting on the supermarket shelf the product stands out. The packaging is appealing to the eye. Product is easy to use and tastes great. My teeth feel all sparkly and clean.,4 stars
Really good,12th December 2018,I think that Colgate Original toothpaste is really good,4 stars
Good quality toothpaste,12th December 2018,Colgate total original toothpaste is perfect for the whole family to use. It tastes good and really cleans your teeth well. There's no funny aftertaste that you sometimes get with toothpastes. My mouth feels refreshed and healthy after using it.,4 stars
Gleaming,12th December 2018,"Awesome, leaves your breath fresh while leaving you teeth gleaming & clean. Compliment on how white my teeth are looking. Fantastic.",4 stars
Fresh and clean,12th December 2018,Clean and fresh feeling along with long lasting feeling,5 stars
Gleaming smile for all the family,12th December 2018,"Colgate total is a good all round toothpaste great for all the family, it leaves a fresh minty taste in your mouth and cleans well without having to over brush.",4 stars
Colgate's best toothpaste,12th December 2018,It's very appealing and easy to use and love the taste I like it's not got a strong smell,4 stars
Excellent toothpaste my kids love it,12th December 2018,Leaves my mouth feeling fresh and teeth nice and clean,5 stars
Good all rounder,12th December 2018,Great refreshing feel to my mouth after use good for the whole family,5 stars
Fantastic product!,12th December 2018,"Initially I was sceptical, but it is brilliant. Leaves my mouth, teeth and gums feeling fresh and clean!",5 stars
Competent but didn't Wow Me.,12th December 2018,"Colgate Total Original Toothpaste works well to make your mouth feel fresh, and has a lasting feel in the mouth, but I don't feel it wowed me more than other products. It has a little too much mint for me personnaly. I would not switch from my normal brand.",4 stars
wow fresh,12th December 2018,"thought it was a great tooth paste, you dont have to use alot to get the effect you want, leaves your mouth feeling clean and fresh",5 stars
Total freshness,12th December 2018,"It makes your mouth feel fresh, and this feeling lasts longer than others. I've not been using it long, but I like the taste of this, some toothpastes burn, but this has a fresh feeling",5 stars
Best toothpaste I've used in years,12th December 2018,"Brilliant toothpaste keeps mouth/ breath fresher for longer, tastes lovely definitely would recommend to everyone!",5 stars
Great Toothpaste,12th December 2018,"A great all rounder toothpaste, leaving my whole mouth feeling fresh and clean. Great minty taste. My teeth feel clean all day.",5 stars
Feels Real Clean,12th December 2018,Love this toothpaste leaves my teeth and whole moth feeling clean like I've just been to the hygienist,5 stars
Competent but didn't Wow Me.,12th December 2018,"Colgate Total Original Toothpaste works well to make your mouth feel fresh, and has a lasting feel in the mouth, but I don't feel it wowed me more than other products. It has a little too much mint for me personnaly. I would not switch from my normal brand.",4 stars
wow fresh,12th December 2018,"thought it was a great tooth paste, you dont have to use alot to get the effect you want, leaves your mouth feeling clean and fresh",5 stars
Total freshness,12th December 2018,"It makes your mouth feel fresh, and this feeling lasts longer than others. I've not been using it long, but I like the taste of this, some toothpastes burn, but this has a fresh feeling",5 stars
Best toothpaste I've used in years,12th December 2018,"Brilliant toothpaste keeps mouth/ breath fresher for longer, tastes lovely definitely would recommend to everyone!",5 stars
Great Toothpaste,12th December 2018,"A great all rounder toothpaste, leaving my whole mouth feeling fresh and clean. Great minty taste. My teeth feel clean all day.",5 stars
Feels Real Clean,12th December 2018,Love this toothpaste leaves my teeth and whole moth feeling clean like I've just been to the hygienist,5 stars
Colgate Total Original Toothpaste,12th December 2018,"While the taste etc & feeling of clean teeth was a plus, I did not feel as if was the best toothpaste for sensitive teeth.",3 stars
tingly clean and fresh,12th December 2018,"well this toothpaste certainly leaves your mouth feeling fresh and clean. tingle fresh and the foam is just right not too much but you can feel it working , will definitely buy again if same price as normal toothpaste",4 stars
Colgate Total Whole Mouth Health,12th December 2018,BRILLIANT 5 ***** makes your teeth feel clean and fresh makes your breath and mouth feel clean and fresh would highly recommend love this tooth paste and look forwards to cleaning my teeth,5 stars
Clean and shiny,12th December 2018,You can feel the cleanliness of your teeth literally squeaky clean!,5 stars
Not the best but very good,12th December 2018,Higly recommended. Leaves fresh taste and keep my teeth healthy,5 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Flip Top Lid Ideal For Reduced Dexterity,12th December 2018,"Colgate Total Original Toothpaste is presented in a lightweight tube with an easy to open flip lid. The lid is ideal for those experiencing dexterity issues. The toothpaste is thick enough to be squeezed out without the potential for overloading the toothbrush. The toothpaste has a mild minty taste, not overpowering or sweet tasting. Brushing for an extended period of time was not uncomfortable, the re was no uncomfortable tingling on my tongue or roof of mouth. The taste is probably a bit too strong for very young children. But will be tolerable for children with secondary teeth.",5 stars
Really Happy!,12th December 2018,"Colgate Total Original tastes minty fresh without harsh additives that give me a sore mouth, so is perfect for me to use twice a day, every day. Up to 12 hour protection against bacteria in the mouth helps give me more confidence.",5 stars
Colgate is still the best!,12th December 2018,"You always expect newer varieties of the same item to be better, but.....Colgate Total Original Toothpaste doesn't need improvement! It has a fresh taste without being too harsh yet leaves your mouth feeling clean and protected. I love the simplicity of just cleaning your teeth and knowing that you are giving your oral health the best!",5 stars
Clip of cleanses,12th December 2018,"I think it's great, the tube with a clip fastening is great keep it standing up, also the taste isn't too strong and great for the whole family, cleans your mouth and feels fresh",4 stars
Excellen Toothpaste!!! Highly recommend!,12th December 2018,"I love the package because it will be easy to find on the shops shelves and also looks cool. This toothpaste will be great for me and my family as it leaves my teeth clean, shiny, smooth and fresh. But the most important is it takes really great care of all the problematic areas at once.",5 stars
Fresh and clean,12th December 2018,Leaves your teeth looking and feeling clean just like you have left your dentist appointment,4 stars
Colgate Total Original Best toothpaste,12th December 2018,"Great toothpaste, felt nice and fresh, very good cleaning your teeth, feels clean and fresh breath so much long then with any other I ever used. Feels like it's cleaning not only my teeth but whole mouth. Recommended to everyone who cares for your teeth and mouth.",5 stars
Love it,12th December 2018,Seeing it sitting on the supermarket shelf the product stands out. The packaging is appealing to the eye. Product is easy to use and tastes great. My teeth feel all sparkly and clean.,4 stars
Really good,12th December 2018,I think that Colgate Original toothpaste is really good,4 stars
Good quality toothpaste,12th December 2018,Colgate total original toothpaste is perfect for the whole family to use. It tastes good and really cleans your teeth well. There's no funny aftertaste that you sometimes get with toothpastes. My mouth feels refreshed and healthy after using it.,4 stars
Gleaming,12th December 2018,"Awesome, leaves your breath fresh while leaving you teeth gleaming & clean. Compliment on how white my teeth are looking. Fantastic.",4 stars
Fresh and clean,12th December 2018,Clean and fresh feeling along with long lasting feeling,5 stars
Gleaming smile for all the family,12th December 2018,"Colgate total is a good all round toothpaste great for all the family, it leaves a fresh minty taste in your mouth and cleans well without having to over brush.",4 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Nice fresh feeling all day,12th December 2018,"I liked the fact it is gentle on my teeth, doesn't leave a chalky taste in my mouth and leave any breath fresh all day.",5 stars
Perfect for family's,12th December 2018,Lovely smooth textured toothpaste that lathers in the mouth to spread easily.,5 stars
All round mouth protection,12th December 2018,Brilliant toothpaste which offers all round protection. It has a good mint flavour which left my mouth feeling fresh for a good period of time.,5 stars
Prefer my usual brand,12th December 2018,Its ok But i wont be changing from my usual brand.,1 stars
Great toothpaste,12th December 2018,"Fantastic toothpaste. It tasted minty, teeth felt clean and mouth felt fresh. Great for all the family to use.",4 stars
Colgate's best toothpaste,12th December 2018,It's very appealing and easy to use and love the taste I like it's not got a strong smell,4 stars
Excellent toothpaste my kids love it,12th December 2018,Leaves my mouth feeling fresh and teeth nice and clean,5 stars
Good all rounder,12th December 2018,Great refreshing feel to my mouth after use good for the whole family,5 stars
Fantastic product!,12th December 2018,"Initially I was sceptical, but it is brilliant. Leaves my mouth, teeth and gums feeling fresh and clean!",5 stars
Competent but didn't Wow Me.,12th December 2018,"Colgate Total Original Toothpaste works well to make your mouth feel fresh, and has a lasting feel in the mouth, but I don't feel it wowed me more than other products. It has a little too much mint for me personnaly. I would not switch from my normal brand.",4 stars
wow fresh,12th December 2018,"thought it was a great tooth paste, you dont have to use alot to get the effect you want, leaves your mouth feeling clean and fresh",5 stars
Total freshness,12th December 2018,"It makes your mouth feel fresh, and this feeling lasts longer than others. I've not been using it long, but I like the taste of this, some toothpastes burn, but this has a fresh feeling",5 stars
Best toothpaste I've used in years,12th December 2018,"Brilliant toothpaste keeps mouth/ breath fresher for longer, tastes lovely definitely would recommend to everyone!",5 stars
Fresh and clean,12th December 2018,It has a taste that isnt to strong but does everything it claims to do will definatly be changing to this toothpaste,5 stars
Gets a thumbs up from all the family.,12th December 2018,This is an excellent oral health product that I wouldn't hesitate to recommend. The strength of flavour is just right and is quite lasting.,5 stars
All round total goody,12th December 2018,I loved its all round total mouth health..with added plusness of sensitive..great tasting too My mouth felt fresh and clean all day long,5 stars
Colgate total wins!,12th December 2018,Great tasting toothpaste which leaves your whole mouth feeling clean and you breath fresh! Fantastic for the whole family,5 stars
Great toothpaste,12th December 2018,"This toothpaste was quite minty and tasted good, it made my teeth feel very clean and the taste lasted for a good while. The only thing I didn't like was that it didn't have whitening but this is a personal choice and no reflection of the toothpaste.",4 stars
A good all-rounder,12th December 2018,The toothpaste tasted really refreshing and clean. I like that it provides benefits for so many different oral health concerns all in one simple toothpaste. This toothpaste is a good all-rounder for families who want a simple way to help ensure good oral health for every member of the family.,4 stars
Clean and refreshed,12th December 2018,"Colgate Total toothpaste left my teeth squeaky clean and my mouth felt refreshed. It's minty taste is good, without being too overpowering. I will definitely continue using and switch from my current brand.",5 stars
Colgate Total Toothpaste.,12th December 2018,First thoughts when I recieved the toothpaste was I like the packaging. Then I really liked the taste and my teeth felt very clean and fresh. The taste lingered which I like as some toothpastes make you fresh until you have finished cleaning. This toothpaste lasts.,4 stars
Colgate toothpaste.,12th December 2018,It cleans teeth very well. Love the fresh feeling of clean breath.,5 stars
A great and refreshing toothpaste!,12th December 2018,The Colgate Total toothpaste is perfect for giving you clean teeth and refreshing your breath.,4 stars
Great toothpaste,12th December 2018,"This toothpaste was quite minty and tasted good, it made my teeth feel very clean and the taste lasted for a good while. The only thing I didn't like was that it didn't have whitening but this is a personal choice and no reflection of the toothpaste.",4 stars
A good all-rounder,12th December 2018,The toothpaste tasted really refreshing and clean. I like that it provides benefits for so many different oral health concerns all in one simple toothpaste. This toothpaste is a good all-rounder for families who want a simple way to help ensure good oral health for every member of the family.,4 stars
Clean and refreshed,12th December 2018,"Colgate Total toothpaste left my teeth squeaky clean and my mouth felt refreshed. It's minty taste is good, without being too overpowering. I will definitely continue using and switch from my current brand.",5 stars
Colgate Total Toothpaste.,12th December 2018,First thoughts when I recieved the toothpaste was I like the packaging. Then I really liked the taste and my teeth felt very clean and fresh. The taste lingered which I like as some toothpastes make you fresh until you have finished cleaning. This toothpaste lasts.,4 stars
Colgate toothpaste.,12th December 2018,It cleans teeth very well. Love the fresh feeling of clean breath.,5 stars
A great and refreshing toothpaste!,12th December 2018,The Colgate Total toothpaste is perfect for giving you clean teeth and refreshing your breath.,4 stars
Love it,12th December 2018,Seeing it sitting on the supermarket shelf the product stands out. The packaging is appealing to the eye. Product is easy to use and tastes great. My teeth feel all sparkly and clean.,4 stars
Clean feeling,12th December 2018,"This was an experience for my mouth, it's the first toothpaste I've used that isn't too strong flavour wise and still leaves my mouth feeling fresh and clean",4 stars
Love this toothpaste,12th December 2018,Great taste and freshness you feel after each use and it last. Leaves your teeth feeling thoroughly clean.,5 stars
a good all round toothpaste,12th December 2018,A great all round toothpaste that delivers good cleaning and mouth health helping to prevent cavities and unplanned visits to the dentist,4 stars
An excellent all rounder that works,12th December 2018,"Nice clean long lasting feel, very fresh breath. Nice easy to use tube. Great for all the family!",4 stars
this Colgate works,12th December 2018,really cleaned my teeth well and left my mouth so fresh and clean.,5 stars
My Favourite,12th December 2018,Colgate Total Oringinal Toothpaste is my absolute favourite. It leaves my teeth feeling really clean and my breath smelling fresh. Love it.,5 stars
So so,12th December 2018,"Very average toothpaste, I usualy buy the whitening ones that leaves a very fresh feeling,this one unfortunatly doesn't do any of those..It's suitable for the whole family so I guess it's great for family's, but doesn't suit my needs",3 stars
Great toothpaste,12th December 2018,"Really liked trying Colgate Total, it has a very eye catching design, very clear info on what it's doing to keep teeth and gums healthy. Taste was pleasant, not too strong and left my mouth feeling very clean and fresh.",5 stars
The best toothpaste ever,12th December 2018,This toothpaste dont only focus on 1 aspect of the oral hygiene but cover all the important aspects. I used to swap from one to the other and never get satisfied with the results but now I'm really happy. And the whole family love it.,5 stars
Toothpaste Colgate,12th December 2018,Yes on my face book i love it makes my teeth nice i white,5 stars
Colgate Total Original Toothpaste,12th December 2018,Absolutely fantastic product. Leaves your mouth feel very clean & minty. My teeth feel very clean when using this. I would highly recommend this to everybody,5 stars
Good all rounder,12th December 2018,Great refreshing feel to my mouth after use good for the whole family,5 stars
New favourite toothpaste,12th December 2018,"I would definitely recommend using colegate total toothpaste. It made my mouth feel so fresh and clean. It lasted ages. Also it wasnt to strong tasing. I really dislike overly minty toothpaste, but this was perfect.",5 stars
Clean and minty,12th December 2018,Certainly makes your mouth feel clean and your breath fresh,5 stars
Good toothpaste,12th December 2018,Leaves my mouth feeling clean and fresh nice taste.,4 stars
Great taste and very clean teeth.,12th December 2018,"This toothpaste has a great taste, makes a rich foam and rinses very well. It leaves my teeth feeling very clean and it has a very nice, minty aftertaste. I am very impressed with the results after using this toothpaste for a week and would really recommend it.",4 stars
Tooth paste of your choice,12th December 2018,Love the taste of it. Makes the mouth feels so fresh after brushing. Other family members also tried and loved it.,5 stars
Not for sensitive teeth,12th December 2018,"First impressions were very good. Lovely strong, fresh minty taste. I felt my whole mouth was clean and felt zingy afterwards. unfortunately for me my sensitivity returned after only two uses so I will have to stick to my usual brand.",4 stars
Colgate trial,12th December 2018,"I liked the taste of this toothpaste , u only need a little bit as it goes a long way , so the tube will last longer . It left my mouth feeling fresh .",4 stars
Superb,12th December 2018,This toothpaste provided a whole mouth clean that felt fresh even after a nights sleep.,4 stars
Total - a toothpaste that really does!,12th December 2018,"I loved this toothpaste as it was fresh, felt like it was cleaning my whole mouth as well as cleaning and protecting my teeth. The freshness lasted a long time too which gives you confidence speaking to people on a regular basis (I have to do this for my job)",5 stars
Strong minty freshness!,12th December 2018,The toothpaste comes in familiar colgate packaging so it is easy to identify. It has a strong mint taste that leaves your mouth feeling fresh and clean.,5 stars
Colgate total original,12th December 2018,"Colgate total original toothpaste left my mouth feeling fresh, My teeth feeling squeaky clean and tasted great. My kids liked it too.",5 stars
